car,owner,cpf_cnpj,muni,uf,region,ha,status,risk
MG-3170305-87004FD7AE67B314F1B99DA7B189D205,Rafael R. Lima,326.487.049-47,Unaí,MG,southeast,3245.24,ok,8
MA-2112209-401245600854678D99215F8529600BC8,Carlos F. Ferreira,733.950.047-97,Tasso Fragoso,MA,northeast,544.43,ok,19
AC-1200401-424E70ACB4063D1FA2E4B6777239B21C,Granja Santa Maria Agro S.A.,80.876.038/5977-03,Rio Branco,AC,north,4369.31,watch,38
MT-5106752-24A9493008214BB32754CF7C5DF0C173,Cooperativa Agrícola Guapiara Agro S.A.,34.163.894/4846-31,Querência,MT,midwest,6994.88,watch,33
MT-5105309-0D35CD10FEDD0B170383847B2B09A024,Cooperativa Agrícola Mata Verde Agropecuária Ltda,53.559.042/5979-27,Lucas do Rio Verde,MT,midwest,5898.81,ok,20
BA-2903201-92A85F8C80D065B513A19C255ADAF722,Agrícola Boa Vista Ltda,79.808.932/4609-53,Barreiras,BA,northeast,7689.83,ok,6
AM-1301803-E126236570D6CF0E97F46ED8BCE7476A,Diego C. Tanaka,873.471.434-55,Humaitá,AM,north,6483.0,watch,59
RO-1100304-98BB674DC2643C16554071E14AE531AC,Sebastião C. Lima,181.960.013-38,Vilhena,RO,north,22540.4,breach,88
MA-2109304-2BAB51045422786051956461EEF92624,Henrique H. Albuquerque,629.619.431-14,Riachão,MA,northeast,720.21,ok,13
RO-1100122-0C45289C21D93E27440CEA2759A64D36,Pedro L. Pereira,343.161.172-40,Ji-Paraná,RO,north,1050.69,ok,18
MT-5107958-114FCFED9BF9CCF779011AFA35F80D31,Henrique E. Tanaka,393.769.042-68,Tangará da Serra,MT,midwest,2160.04,ok,5
RS-4301602-7C61076763E4FA38C461A3F5FC86E707,Fazenda Rio Claro Agro S.A.,15.265.461/0339-93,Bagé,RS,south,4090.87,breach,64
PA-1506195-85F85743B5BFB3B49C9FD454B2004FAC,Felipe G. Fonseca,701.436.349-57,Redenção,PA,north,86.38,ok,15
MS-5002951-40DD5E1CB0CA3348CA421F81884FC924,Granja Pirapora Agro S.A.,84.521.823/0768-10,Chapadão do Sul,MS,midwest,5473.17,ok,0
RS-4310256-DE926AE9975CACE186BE883845A0E84D,Cristina T. Araújo,908.466.845-50,Ijuí,RS,south,1403.22,ok,23
MT-5107909-42293143662F2C27FD8BC4896B0D7A75,Sebastião D. Cavalcanti,955.276.365-56,Sinop,MT,midwest,1664.67,breach,80
MT-5102637-9A8095EC12D5682921C4DB41E5D48250,Camila R. Oliveira,272.785.760-84,Campo Novo do Parecis,MT,midwest,128.15,ok,25
AM-1302603-5C6CD4108F5ACACF3022A93BC29B1DF1,Rafael L. Santos,162.720.465-37,Manaus,AM,north,242.22,watch,60
PI-2201705-AF5C986A31B768447F4E71D7E71AD551,Ana S. Soares,021.355.690-92,Bom Jesus,PI,northeast,2293.53,breach,75
MT-5107958-AB663228D564D20A2EAF22CDEBE976D6,Agro Tijuco Agropecuária Ltda,05.800.851/4036-96,Tangará da Serra,MT,midwest,300.88,ok,15
BA-2919926-5DDF25F35FF4B7936D61998A8F7B74BD,Estância Florestal Agro S.A.,99.371.240/6596-57,Luís Eduardo Magalhães,BA,northeast,4750.28,ok,20
MS-5003702-E69B3654C29E8D85B833BAE2BF28ABC8,Luciana S. Cavalcanti,829.221.699-58,Dourados,MS,midwest,2391.08,watch,51
PI-2201432-4E26F3750083F50EDAC24DB2B7014D8B,Renata C. Lima,407.581.814-12,Baixa Grande do Ribeiro,PI,northeast,811.26,ok,9
SP-3549904-981A9C8719C5DBCBE31346D08B18734C,Pedro S. Rodrigues,594.165.162-31,São José do Rio Preto,SP,southeast,327.12,ok,9
PE-2601201-3F2E1BAE74314106BFE76817DAA21D45,Fazenda São Francisco Sociedade Rural Ltda,69.029.593/9172-51,Araripina,PE,northeast,9261.41,ok,12
PR-4104808-A4BCD392DB84C45FFDC0AFFD3B33987D,Agropecuária Rio Claro Sociedade Rural Ltda,88.143.111/5083-53,Cascavel,PR,south,763.16,watch,43
PE-2601201-8AD5A9411FAD4BE42CECC9AABAF4660B,Fernando S. Vasconcelos,743.748.969-10,Araripina,PE,northeast,960.84,watch,37
GO-5205109-4BECB117586C8F66CE9A2D2B64C7A123,Felipe H. Lima,665.702.793-71,Catalão,GO,midwest,1080.91,ok,27
MA-2112209-2D196F345CBB5413C922768F34412ADB,Estância Mata Verde Agro S.A.,02.410.386/5719-18,Tasso Fragoso,MA,northeast,514.68,ok,2
SP-3506003-6C107630A97E04011993A02B495DC981,Júlia B. Mendonça,013.223.423-21,Bauru,SP,southeast,6697.84,ok,22
MA-2109304-FEA33D6E59710A99731A86D2F5FEF2D2,Cristina E. Ferreira,428.241.724-82,Riachão,MA,northeast,252.97,breach,84
MS-5007208-DAE696E155AB96ECFB872D234BB361E7,Estância Recreio Sociedade Rural Ltda,82.455.877/1694-72,São Gabriel do Oeste,MS,midwest,480.89,ok,2
MS-5007208-29C982AE916208EAD92E9E8C1AE80FA6,Rafael M. Santos,413.797.723-69,São Gabriel do Oeste,MS,midwest,2262.17,watch,43
BA-2911105-FAE9346D0989F2F7F23301A3D295BC18,Ana R. Almeida,158.693.806-86,Formosa do Rio Preto,BA,northeast,2227.59,ok,27
PR-4109401-755BB746E9033D64E9E582175979676C,Letícia G. Costa,179.128.685-78,Guarapuava,PR,south,1326.5,ok,7
TO-1709500-DF36D657E6FCA2F2F51D1E02DF1C4961,Renata L. Fonseca,278.755.886-75,Gurupi,TO,north,1881.28,ok,10
TO-1721000-F87106541FD9FFA40C7AE29A7155AD5B,Estância Cruzeiro S.A.,42.102.499/4717-46,Palmas,TO,north,571.5,watch,47
TO-1717909-D3CC94FF8C1D25C9042611759739BEA4,Marcelo M. Santos,053.293.183-93,Pedro Afonso,TO,north,659.19,breach,89
SP-3506003-9B91D4683FF9DF87A3012DE72E05349E,Luciana P. Cavalcanti,232.487.632-90,Bauru,SP,southeast,798.4,ok,17
BA-2909307-B40EF71798FFE2D95ACFC01400C8A86B,Agro Esperança Agropecuária Ltda,13.899.940/4389-83,Correntina,BA,northeast,359.01,watch,38
MA-2110054-871F7DE569324E96256D7AA4DFA72C2B,Felipe C. Magalhães,385.467.854-45,São Raimundo das Mangabeiras,MA,northeast,2342.11,ok,20
MS-5003702-4AD32052099511F24AB98FB50C5EDCD1,Camila C. Costa,977.671.990-38,Dourados,MS,midwest,831.84,breach,85
PA-1505486-FA8ADC30543FE5A6E743849E63F8101A,Roberto E. Vasconcelos,341.928.327-64,Novo Progresso,PA,north,4821.88,ok,12
MT-5108402-603505D3AA3B52692D44B95EF5E53FE6,Helena R. Barbosa,927.129.666-67,Sorriso,MT,midwest,458.13,ok,23
BA-2911105-DAA2F3228F362A609396B3CC11D2574D,Helena H. Cavalcanti,571.775.140-10,Formosa do Rio Preto,BA,northeast,1814.31,ok,19
SC-4214805-80B0E8565ECF3BFE351A060CED37FDD8,Letícia G. Silva,605.664.187-75,Rio do Sul,SC,south,117.91,ok,14
PI-2201705-80E32BED509ECDDF5F61422FCFA2FBEC,Helena S. Fonseca,842.701.039-30,Bom Jesus,PI,northeast,386.25,ok,9
GO-5211503-C9DB6F98AB017EE38F06CF37EC424EBE,Fazenda Pirapora Agropecuária Ltda,63.331.279/7573-66,Jataí,GO,midwest,1827.59,ok,16
DF-5300108-4B3A06189B6E894C79CDF5628EB73011,Fazenda Horizonte Agropecuária Ltda,89.090.100/1676-18,Brasília,DF,midwest,1538.8,breach,96
MA-2110054-74599453A72AEECBAF53F77F5BECCDCA,Cooperativa Agrícola Guapiara Agro S.A.,85.161.227/5304-63,São Raimundo das Mangabeiras,MA,northeast,2096.0,ok,16
BA-2903201-4C667F52B5C4166F241547B277BE96AC,Júlia T. Mendonça,868.740.345-05,Barreiras,BA,northeast,429.02,ok,16
PR-4113700-DE0A6C1E43CAFFFEE12EC3659F30938C,Granja São João Ltda,33.423.425/8323-02,Londrina,PR,south,701.19,watch,57
BA-2903201-A3BD0E6DE0DC2BD4049E57A8E284C5BA,Cooperativa Agrícola Pinheiral Agro S.A.,12.082.677/3454-01,Barreiras,BA,northeast,2577.46,ok,9
RS-4314902-2B9D180127BDF979F5AB642010FD3AA6,Agrícola Cerrado S.A.,60.164.597/7945-23,Passo Fundo,RS,south,2101.02,ok,9
RS-4301602-633EC5ABF959F9627C0303393BF5B32F,Agro Vale Verde Agro S.A.,49.545.089/2038-80,Bagé,RS,south,740.09,ok,3
BA-2929206-CDF1A0BF895E6CA0A55864DF921AE4AA,Thiago P. Oliveira,793.597.820-71,São Desidério,BA,northeast,448.59,ok,17
MA-2112209-843F03FCC41762838A56B671566A46F2,Luciana G. Soares,643.815.614-97,Tasso Fragoso,MA,northeast,15821.65,watch,41
RO-1100122-90B01058478BE93761A56D0AA0BC1382,Marcelo E. Soares,871.331.509-83,Ji-Paraná,RO,north,320.57,breach,68
AL-2702306-90429B0E53BEE0D447B1D2F7D46A33DB,Agro Vale Verde Sociedade Rural Ltda,99.119.148/5646-79,Coruripe,AL,northeast,7269.54,watch,46
MG-3148004-59FE52D5545FD1B7FC4CF6E29137DF1F,Fazenda Boa Sorte S.A.,98.343.018/7186-37,Patos de Minas,MG,southeast,2986.47,ok,8
MT-5106257-4A3ED31A5241C00C7951219EFA0ABC23,Agrícola Esperança Ltda,37.183.764/5208-81,Nova Ubiratã,MT,midwest,21405.55,watch,55
PA-1506195-6FF8B24F98B098D2F129A31E399698E3,Fazenda Boa Vista S.A.,26.773.602/6064-74,Redenção,PA,north,3812.77,ok,21
PI-2211100-14368C9A89AB04CE522A1BF1867245F9,Vanessa D. Vasconcelos,198.327.315-85,Uruçuí,PI,northeast,3355.69,watch,31
MT-5103403-B571A05AC851E7DB6431D3D35C0AA1E7,Letícia H. Costa,755.037.589-97,Diamantino,MT,midwest,1557.98,breach,64
SC-4204202-A52D76C3C5815C5A2C63C667DC5020CF,Pedro H. Almeida,213.524.787-12,Chapecó,SC,south,243.7,breach,74
SP-3551009-FFC71E17BF1AC405C787B6FC40EBB907,Beatriz F. Figueiredo,009.751.971-28,Sertãozinho,SP,southeast,106.84,breach,65
CE-2304400-69486C1AE8D6E6D6B554FA7116B520F8,Ricardo G. Pereira,159.212.499-85,Crato,CE,northeast,1380.54,breach,91
PA-1505486-1FADB6BF4C876B4DD1E37960D23C5EB4,Estância Santa Maria Agropecuária Ltda,91.905.865/1850-67,Novo Progresso,PA,north,572.99,ok,23
PB-2516409-7E702698A4040316B80EF7422ABF5E7E,Marina Ferreira,398.225.871-39,Sousa,PB,northeast,752.47,breach,72
MS-5007703-3106F98B9FDA73AC4098320302FC5698,Vanessa P. Souza,260.127.961-14,Sidrolândia,MS,midwest,2877.39,ok,9
PR-4119905-916F4300E52DE0169134550E42B8ABE7,Agrícola Vale Verde Agropecuária Ltda,66.572.934/1722-32,Ponta Grossa,PR,south,2199.03,ok,3
SP-3551009-FF827173F0BD7029549CA8774788C80C,Estância Pinheiral S.A.,96.136.749/9465-79,Sertãozinho,SP,southeast,22962.14,ok,14
MG-3147006-AAA97D867F95F500D5B0E51555A3A9E1,Pedro Gomes,842.762.467-19,Paracatu,MG,southeast,1241.43,ok,10
PA-1505502-138699C6E49690F1CA413826B7044D13,Beatriz S. Cavalcanti,116.719.022-94,Paragominas,PA,north,491.45,ok,25
BA-2919926-5F68E8A41687001DA713AF71C7E4A656,Letícia A. Chiarelli,997.062.962-01,Luís Eduardo Magalhães,BA,northeast,103.2,ok,8
BA-2919926-BDD3239CA2C7CC7E9A9DA2174408470D,Cooperativa Agrícola Campo Belo Ltda,64.535.218/1883-55,Luís Eduardo Magalhães,BA,northeast,529.41,breach,96
MA-2101400-4D1D1C3BBD969CDC9892F49F8ED2C604,Beatriz R. Figueiredo,807.836.134-07,Balsas,MA,northeast,1932.71,ok,4
GO-5205513-DE02A5EF4B55167DB76E22BFD1E7979C,Sítio Cruzeiro S.A.,74.470.120/4556-11,Chapadão do Céu,GO,midwest,2238.89,breach,72
RS-4306205-4ADC362EFE3FEAAEF3B266415F1B6E7A,Estância Cruzeiro Agropecuária Ltda,59.112.382/9657-72,Cruz Alta,RS,south,451.05,ok,27
ES-3204906-1595281B3F317F9F3B354A415781BA84,Otávio F. Tanaka,989.319.508-50,São Mateus,ES,southeast,2119.82,breach,68
BA-2911105-321D1CDE05C262DCC276A374B784C7D5,Cristina P. Rodrigues,685.054.235-73,Formosa do Rio Preto,BA,northeast,24735.48,ok,9
BA-2919926-699678EE2242D9DF7368A67B729C3034,Agrícola Boa Sorte S.A.,49.912.513/4125-28,Luís Eduardo Magalhães,BA,northeast,5611.08,watch,45
PE-2611606-BE779DD1FABDC6FD75482DCEC0AD0E27,Cristina F. Fonseca,294.667.116-84,Petrolina,PE,northeast,15272.59,breach,72
SP-3549904-D17C3C6CFA5F92DCC95126B87E01D9C0,Vanessa Vieira,202.041.792-91,São José do Rio Preto,SP,southeast,612.06,ok,2
GO-5213103-7E0E9CAD4C81B8F8C2865EA54F978CA1,Agropecuária Cerrado S.A.,81.606.484/2294-05,Mineiros,GO,midwest,1056.66,watch,59
MG-3148103-DDA4AB19D08575E1233E9D888C171DE7,Henrique Coutinho,481.832.192-85,Patrocínio,MG,southeast,1288.88,watch,58
SP-3541406-80555824E672750BF5B74FF929E7BBE2,Thiago B. Barbosa,310.592.745-23,Presidente Prudente,SP,southeast,1185.36,ok,26
MT-5108402-3CB47868ADC92872FAFB75371503E577,Marcelo Magalhães,930.848.872-56,Sorriso,MT,midwest,589.91,ok,22
MS-5007935-91CB14AC7F2E452E5D57117D45986B18,Cooperativa Agrícola São João Ltda,66.299.795/4538-17,Sonora,MS,midwest,237.1,ok,18
GO-5213103-3BC910AB552A4D654AC6C758445BBDAB,Fernando E. Almeida,624.731.498-64,Mineiros,GO,midwest,1928.69,ok,6
MT-5107958-B4C0D1DBDB83CC4AE6FF58049CDDEBAC,Cooperativa Agrícola Itamaraty Ltda,81.062.003/4244-20,Tangará da Serra,MT,midwest,1746.44,watch,60
RN-2408003-0AEEA0860B848B6F2E83945C1F73B4D1,Carlos S. Souza,062.312.038-75,Mossoró,RN,northeast,19048.21,ok,12
MG-3148004-31F112CB8051494F784D31D7A2F717A1,Fazenda Florestal Ltda,38.759.271/2566-38,Patos de Minas,MG,southeast,288.32,ok,3
MG-3148004-EB0373BCD6DEAD442A3320C47F6E340C,Bruno M. Gomes,082.973.748-96,Patos de Minas,MG,southeast,366.37,watch,31
PA-1505486-E462F471E27ABF6B26176F057FD1A8F5,Rafael F. Figueiredo,137.098.593-17,Novo Progresso,PA,north,960.64,ok,27
RS-4310256-100D696DC977691AA08910B9DE285792,Carlos Oliveira,651.207.049-61,Ijuí,RS,south,102.92,ok,18
PA-1505502-037D16A3B73A0CC162F803D7CAF9FE9B,Thiago T. Barbosa,148.951.343-32,Paragominas,PA,north,2178.08,ok,28
RO-1100122-2DB9FA0D4AF211849B3A47ED1640CA4B,Agropecuária Bandeirantes Agro S.A.,99.118.384/2513-54,Ji-Paraná,RO,north,1412.61,ok,2
MS-5007703-EAA9C80797FED7FE4390C7886A2FB7B0,Sítio Cerrado S.A.,73.334.333/3952-11,Sidrolândia,MS,midwest,382.12,ok,19
GO-5205513-2A19E579499556033B6D2BE754829DD2,Gustavo Cardoso,814.141.397-55,Chapadão do Céu,GO,midwest,1100.15,breach,68
MS-5002951-19517469A9D5A0329CCCA74973E4CAEE,Agro Vista Alegre Agro S.A.,15.396.695/8321-97,Chapadão do Sul,MS,midwest,7533.15,breach,64
SP-3503208-21F36A186917401BC07A0062560BC76B,Felipe T. Bonatti,421.406.650-44,Araraquara,SP,southeast,2885.55,ok,12
MG-3148103-C8AF500168A5B40909E391F196CAC212,Fazenda Santa Maria Sociedade Rural Ltda,56.945.441/4967-39,Patrocínio,MG,southeast,423.45,ok,14
BA-2929206-C5954090C4C75932338CBCF9F6EF235B,Carlos D. Albuquerque,263.838.065-78,São Desidério,BA,northeast,1723.97,watch,41
GO-5205109-E82F897BE6A8E73146208C248B7C4CC9,Cooperativa Agrícola Rio Claro S.A.,34.722.820/0557-78,Catalão,GO,midwest,5515.17,ok,28
GO-5218805-AED7A5BEDC098BD1381363A9F88BC9AB,Renata F. Fonseca,899.405.391-03,Rio Verde,GO,midwest,797.79,watch,47
ES-3203205-0FEE4EC4D275CAC41C7BE56E12416B85,Cristina R. Souza,348.645.183-76,Linhares,ES,southeast,2047.75,watch,35
RO-1100122-FC81AD8352FEE9715FC3391BDF82AF28,Patrícia S. Silva,184.514.627-04,Ji-Paraná,RO,north,2432.29,breach,76
MT-5102637-6E85D7798221A325B13CB7732D0092A0,Renata P. Ribeiro,989.266.591-84,Campo Novo do Parecis,MT,midwest,706.23,ok,5
BA-2929206-A43C67B26752D5F56C8131720FD6FEDE,Granja Guapiara Sociedade Rural Ltda,00.109.439/6907-84,São Desidério,BA,northeast,3544.09,ok,16
BA-2908408-83F443B55EC41A6FDFC44B574738EB29,Fernando E. Gomes,785.854.973-34,Cocos,BA,northeast,1060.67,watch,46
MT-5102678-58F15EBCE667EEE4C12C94933A5B789B,Ana C. Lima,983.248.262-92,Campo Verde,MT,midwest,2219.05,ok,4
RO-1100023-E3068CAFB36FE9A1E8A5B83A6B296D43,Fazenda Santa Maria Agropecuária Ltda,29.401.965/5698-16,Ariquemes,RO,north,5836.64,ok,14
PR-4113700-DBFE38CEFAFB4A53F5E2E90028B761EA,Sítio Guapiara Agro S.A.,53.984.028/9141-61,Londrina,PR,south,2295.89,watch,44
MG-3147006-F8257A41D3FA65A59BD742C247FC0572,Cooperativa Agrícola Pindorama S.A.,41.124.127/2380-46,Paracatu,MG,southeast,20100.81,ok,5
MG-3170107-1BD6377E2E762BAF32B02D725E9CA92F,Marina A. Vieira,799.563.531-53,Uberaba,MG,southeast,2975.61,breach,95
BA-2919926-E190AA2020758D45BDB1E5684FA780D2,Helena R. Araújo,856.914.630-31,Luís Eduardo Magalhães,BA,northeast,482.13,breach,71
MG-3170107-C4B7CD512E27FC37A3B5AC1264BC86B7,Agropecuária Tijuco Agropecuária Ltda,42.944.401/9292-75,Uberaba,MG,southeast,532.54,ok,25
